nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
prazol,OMEPRAZOLE,20,MG,GELULE,1 BOITE 14 GELULE,54.5,34.0,54.5,G,70%,برازول,prazol
mitoxantrone ebewe,MITOXANTRONE,20,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,2099.0,1852.0,2099.0,G,70%,ميتوكسانتروني يبيوي,mitoxantrone ebewe
bedelix,MONTMORILLONITE BEIDELLITIQUE,3,G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 30 SACHET,57.7,38.1,57.7,P,0%,بيديليكس,bedelix
tegretol lp,CARBAMAZEPINE,400,MG,COMPRIME PELLICULE SECABLE A LP,1 BOITE 30 COMPRIME PELLICULE SECABLE,95.9,59.7,95.9,P,70%,تيجريتول لب,tegretol lp
periactine,CYPROHEPTADINE,4,MG,COMPRIME,1 BOITE 30 COMPRIME,23.7,15.7,23.7,P,0%,بيرياكتيني,periactine
digervin 20 mg,FAMOTIDINE,20,MG,COMPRIME,1 BOITE 20 COMPRIME,65.0,0.0,65.0,G,0%,ديجيرفين 20 مج,digervin 20 mg
primperan,METOCLOPRAMIDE,10,MG,SOLUTION INJECTABLE,12 AMPOULE 2 ML,28.2,0.0,28.2,P,70%,بريمبيران,primperan
giroflox,CIPROFLOXACINE,250,MG,COMPRIME PELLICULE,1 BOITE 8 COMPRIME,90.0,56.1,90.0,G,70%,جيروفلوكس,giroflox
ixel,MILNACIPRAN,50,MG,GELULE,1 BOITE 56 GELULE,295.0,195.5,295.0,P,70%,يكسيل,ixel
gentamen 160,GENTAMICINE,160,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,26.5,17.5,18.9,P,70%,جينتامين 160,gentamen 160
aglim 1 mg,GLIMEPIRIDE,1,MG,COMPRIME,1 BOITE 30 COMPRIME,19.0,12.6,19.0,G,0%,اجليم 1 مج,aglim 1 mg
cisplatine mylan,CISPLATINE,25,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,80.1,50.1,80.1,G,70%,كيسبلاتيني ميلان,cisplatine mylan
schoum,EXTRAIT FLUIDE DE FUMETTERE,0,,SOLUTION BUVABLE,1 BOITE 1 FLACON,18.85,0.0,18.85,G,0%,سكهووم,schoum
acide slf208,CONCENTRE POUR HEMODIALYSE,,,SOLUTE CONCENTRE,1 BIDON 10 L,144.0,90.0,67.3,P,70%,اكيدي سلف208,acide slf208
acno 20 mg,ISOTRETINOINE,20,MG,CAPSULE MOLLE,1 BOITE 30 CAPSULE MOLLE,288.0,191.0,288.0,G,70%,اكنو 20 مج,acno 20 mg
efical,CALCIUM,1,G,SIROP,1 FLACON 150 ML,29.0,18.1,29.0,P,70%,يفيكال,efical
exforge 5 mg/80 mg,AMLODIPINE / VALSARTAN,5 / 80,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,296.0,196.9,296.0,P,70%,يكسفورجي 5 مج/80 مج,exforge 5 mg 80 mg
ephedrine aguettant 3%,EPHEDRINE,3,G,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,0.0,112.4,112.4,G,0%,يبهيدريني اجويتتانت 3%,ephedrine aguettant 3
minotrex,MINOCYCLINE,100,MG,GELULE,1 BOITE 12 GELULE,70.0,43.6,70.0,G,70%,مينوتريكس,minotrex
pneumoccid,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 24 COMPRIME,65.4,40.8,65.4,G,70%,بنيوموككيد,pneumoccid
avenoc,SOUCHE HOMEOPATHIQUE,,,POMMADE,1 TUBE 30 G,49.0,32.2,49.0,P,0%,افينوك,avenoc
percutalgine,DEXAMETHASONE / SALICYLAMIDE,15 / 0.6,MG / G,GEL,1 TUBE 30 G,16.4,10.8,16.4,P,0%,بيركوتالجيني,percutalgine
s-citap ,ESCITALOPRAM,5,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,60.9,40.3,60.9,G,0%,س-كيتاب 5 مج,s citap 5 mg
cholestin 20 mg,SIMVASTATINE,20,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,142.1,88.8,142.1,G,70%,كهوليستين 20 مج,cholestin 20 mg
capozide,CAPTOPRIL / HYDROCHLOROTHIAZIDE,50 / 25,MG / MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,226.8,150.0,226.8,P,70%,كابوزيدي,capozide
fonzylane,BUFLOMEDIL,300,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,117.1,0.0,117.1,P,0%,فونزيلاني,fonzylane
lantus optiset,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE LP,1 BOITE 1 STYLO,152.5,95.3,152.5,P,70%,لانتوس وبتيسيت,lantus optiset
oka-carboplatin,CARBOPLATINE,450,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,1175.0,900.0,1175.0,G,70%,وكا-كاربوبلاتين,oka carboplatin
butovent 2 mg,SALBUTAMOL,2,MG,COMPRIME,1 BOITE 50 COMPRIME,21.9,13.7,21.9,G,70%,بوتوفينت 2 مج,butovent 2 mg
"rotateq,""vaccin pentavalent contre 5 rotavirus reassortants (g1, g3, g4 et p1)"",,,solution buvable,1 tube 2 ml,250.0,165.4,250.0,p,0%,روتاتيق,rotateq,,,,,,,,,,,,"
supposedal nourrisson,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,11.0,7.3,11.0,G,0%,سوببوسيدال نوورريسسون,supposedal nourrisson
hibor 3500 ui anti xa,BEMIPARINE,3500,UI,SOLUTION INJECTABLE,1 BOITE 30 SERINGUE PREREMPLIE,1215.0,803.7,1215.0,P,0%,هيبور 3500 وي انتي كسا,hibor 3500 ui anti xa
aspro,ACIDE ACETYLSALICYLIQUE,500,MG,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME,16.25,0.0,16.25,P,70%,اسبرو,aspro
votrient 400 mg,PAZOPANIB,400,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,10954.0,7246.0,10954.0,P,0%,فوتريينت 400 مج,votrient 400 mg
tranxene,CLORAZEPATE,5,MG,GELULE,1 FLACON 30 GELULE,18.4,11.5,18.4,P,70%,ترانكسيني,tranxene
imusporin,CICLOSPORINE,100,MG,CAPSULE MOLLE,1 BOITE 50 CAPSULE MOLLE,1691.0,1406.0,1691.0,G,70%,يموسبورين,imusporin
denoral enfant,BUZEPIDE / CLOCINIZINE,6 / 22.5,MG / MG,SIROP,1 FLACON 150 ML,14.3,9.5,14.3,P,0%,دينورال ينفانت,denoral enfant
oxalisin 5 mg/ml,OXALIPLATINE,100,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 20 ML,1864.0,1610.0,1864.0,G,70%,وكساليسين 5 مج/مل,oxalisin 5 mg ml
zanidip,LERCANIDIPINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME,128.0,80.0,128.0,P,70%,زانيديب,zanidip
exforge hct 5mg/160mg/25mg,AMLODIPINE / VALSARTAN / HYDROCHLOROTHIAZIDE,5/160/25,MG / MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,363.1,240.2,363.1,P,0%,يكسفورجي هكت 5مج/160مج/25مج,exforge hct 5mg 160mg 25mg
haloperidol pharma 5,HALOPERIDOL,2,MG,SOLUTION BUVABLE,1 FLACON 15 ML,13.2,8.2,13.2,G,70%,هالوبيريدول بهارما 5,haloperidol pharma 5
ovitrelle,CHORIOGONADOTROPINE ALPHA,250,µG/0.5 ML,SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,214.7,142.0,214.7,P,0%,وفيتريللي,ovitrelle
istacyne 200 mg,DOXYCYCLINE,200,MG,COMPRIME,1 BOITE 10 COMPRIME,33.0,21.8,33.0,G,0%,يستاكيني 200 مج,istacyne 200 mg
difrarel,EXTRAIT ANTHOCYANOSIDIQUE DE MYRTILLE / CAROTENE,100 / 5,MG / MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,36.0,23.8,36.0,P,0%,ديفراريل,difrarel
terlomexin,FENTICONAZOLE,200,MG,CAPSULE MOLLE VAGINALE,1 BOITE 3 CAPSULE MOLLE,52.0,32.4,52.0,P,70%,تيرلوميكسين,terlomexin
otipax,PHENAZONE / LIDOCAINE,0.64 / 0.16,G / G,SOLUTION POUR GOUTTE AURICULAIRE,1 FLACON 15 ML,20.2,13.3,20.2,P,0%,وتيباكس,otipax
fludara,FLUDARABINE,10,MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME,3606.0,3301.0,3606.0,P,70%,فلودارا,fludara
coaprovel,IRBESARTAN / HYDROCHLOROTHIAZIDE,300 / 25,MG / MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME,134.4,84.0,134.4,P,70%,كوابروفيل,coaprovel
colimycine,COLISTINE,1.5,MUI,COMPRIME,1 BOITE 10 COMPRIME,63.6,42.1,63.6,P,0%,كوليميكيني,colimycine
ultra-levure,SACCHAROMYCES BOULARDII,250,MG,GELULE,1 FLACON 10 GELULE,37.0,24.5,37.0,P,0%,ولترا-ليفوري,ultra levure
gentalline,GENTAMICINE,0.3,%,COLLYRE,1 FLACON 5 ML,25.6,15.9,21.55,P,70%,جينتالليني,gentalline
cusicrom,CROMOGLYCATE DE SODIUM,4,%,COLLYRE,1 FLACON 15 ML,36.7,0.0,36.7,G,0%,كوسيكروم,cusicrom
tiemozyl,TIEMONIUM IODURE / DIPROPHYLLINE,150 / 25,MG / MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,8.15,5.4,8.15,G,70%,تييموزيل,tiemozyl
platamine,CISPLATINE,10,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,67.7,42.3,51.4,P,70%,بلاتاميني,platamine
aldyzine,DEXAMETHASONE,0.138,G,SOLUTION DENTAIRE,1 FLACON 13 ML,260.0,0.0,260.0,P,0%,الديزيني,aldyzine
adizem,DILTIAZEM,90,MG,GELULE LP,1 BOITE 30 GELULE,104.4,65.3,104.4,G,70%,اديزيم,adizem
farmorubicine,EPIRUBICINE,50 / 25,MG/ML,POUDRE POUR PERFUSION,1 BOITE 1 FLACON,495.0,329.0,325.0,P,70%,فارموروبيكيني,farmorubicine
telebrix 12 sodium,IOXITALAMATE DE SODIUM,52.5,G,SOLUTION INJECTABLE,1 FLACON 250 ML,223.4,147.8,223.4,P,0%,تيليبريكس 12 سوديوم,telebrix 12 sodium
duplamox,AMOXICILLINE / BROMHEXINE,500 / 8,MG / MG,GELULE,1 BOITE 12 GELULE,68.45,45.3,68.45,P,0%,دوبلاموكس,duplamox
claradol,PARACETAMOL,500,MG,COMPRIME EFFERVESCENT,1 BOITE 16 COMPRIME,17.1,10.7,15.3,P,70%,كلارادول,claradol
lopril,CAPTOPRIL,25,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,101.8,63.6,91.8,P,70%,لوبريل,lopril
folifer,SULFATE FERREUX / ACIDE FOLIQUE,150 / 0.5,MG / MG,GELULE,1 BOITE 28 GELULE,50.0,33.1,50.0,G,0%,فوليفير,folifer
helmintox,PYRANTEL,250,MG,COMPRIME PELLICULE SECABLE,1 BOITE 3 COMPRIME,18.9,12.5,18.9,P,70%,هيلمينتوكس,helmintox
lidocaine 5% laprophan,LIDOCAINE,5,%,SOLUTION POUR APPLICATION LOCALE,1 FLACON 24 ML,26.1,17.3,26.1,G,0%,ليدوكايني 5% لابروبهان,lidocaine 5 laprophan
alzole 20 mg,OMEPRAZOLE,20,MG,GELULE,1 FLACON 28 GELULE,96.0,59.8,96.0,G,70%,الزولي 20 مج,alzole 20 mg
neoclav 1 g/125 mg,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 14 SACHET,102.0,67.5,102.0,G,0%,نيوكلاف 1 ج/125 مج,neoclav 1 g 125 mg
algine,ALGINATE DE SODIUM / BICARBONATE DE SODIUM ADULTE,500 / 267,MG / MG,SUSPENSION BUVABLE,1 FLACON 250 ML,34.7,0.0,0.0,P,70%,الجيني,algine
xylocaine 2% adrenaline,ADRENALINE / LIDOCAINE,2 / 2,% / %,SOLUTION INJECTABLE,1 BOITE 1 FLACON,17.2,10.7,17.2,P,70%,كسيلوكايني 2% ادريناليني,xylocaine 2 adrenaline
coltrax,THIOCOLCHICOSIDE,4,MG,COMPRIME,1 BOITE 12 COMPRIME,49.9,33.0,49.9,G,0%,كولتراكس,coltrax
xenetix 350,IOBITRIDOL,76.78,G,SOLUTION INJECTABLE,1 FLACON 20 ML,138.8,91.8,138.8,P,0%,كسينيتيكس 350,xenetix 350
lexus,DOCETAXEL,80,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,3177.0,2858.0,3177.0,G,70%,ليكسوس,lexus
apazide,NIFUROXAZIDE,200,MG,GELULE,1 BOITE 16 GELULE,19.7,12.3,19.7,G,70%,ابازيدي,apazide
expandol,PARACETAMOL,500,MG,COMPRIME EFFERVESCENT,1 BOITE 16 COMPRIME,14.5,0.0,14.5,G,70%,يكسباندول,expandol
hexabrix,IOXAGLATE DE SODIUM ET DE MEGLUMINE,200,MG,SOLUTION INJECTABLE,1 FLACON 200 ML,877.1,580.2,877.1,P,0%,هيكسابريكس,hexabrix
nimbex,CISATRACURIUM,5,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,167.8,0.0,167.8,P,0%,نيمبيكس,nimbex
avelox,MOXIFLOXACINE,400,MG,SOLUTION POUR PERFUSION,1 FLEXIPOCHE 250 ML,465.0,308.0,465.0,P,70%,افيلوكس,avelox
naprogel,NAPROXENE,10,%,GEL,1 TUBE 50 G,44.2,29.2,44.2,G,0%,نابروجيل,naprogel
dermofix,SERTACONAZOLE,2,%,GEL,1 FLACON 100 G,193.8,128.2,193.8,P,0%,ديرموفيكس,dermofix
ibumac 300 mg lp,IBUPROFENE,300,MG,GELULE LP,1 BOITE 30 GELULE LP,42.0,26.2,42.0,G,70%,يبوماك 300 مج لب,ibumac 300 mg lp
coveram 5mg/10mg,PERINDOPRIL / AMLODIPINE,5 / 10,MG / MG,COMPRIME,1 BOITE 30 COMPRIME,246.0,162.7,246.0,P,0%,كوفيرام 5مج/10مج,coveram 5mg 10mg
cutacnyl,PEROXYDE DE BENZOYLE,2.5,%,GEL,1 TUBE 40 G,35.3,23.35,35.3,P,0%,كوتاكنيل,cutacnyl
ocet 200mg,OFLOXACINE,200,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME ENROBE,108.0,71.4,108.0,G,0%,وكيت 200مج,ocet 200mg
invanz,ERTAPENEME,1,G,POUDRE POUR PERFUSION,1 FLACON 20 ML,746.0,494.0,746.0,P,70%,ينفانز,invanz
citafine 1g,GEMCITABINE,1,G,POUDRE POUR SOLUTION POUR PERFUSION,1 FLACON 50 ML,971.0,691.0,971.0,G,70%,كيتافيني 1ج,citafine 1g
adex,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,38.0,23.7,38.0,G,70%,اديكس,adex
sevorane (h),SEVOFLURANE,100,ML,SOLUTION POUR INHALATION,1 FLACON 250 ML,0.0,2351.2,2351.2,P,0%,سيفوراني (ه),sevorane h
infanrix ipv,VACCIN D.T.COQ.P,,,SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,177.0,110.3,177.0,P,70%,ينفانريكس يبف,infanrix ipv
flammazine,SULFADIAZINE,1,%,CREME,1 FLACON 500 G,570.0,377.1,570.0,P,0%,فلاممازيني,flammazine
oroken,CEFIXIME,40,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 40 ML,70.6,44.0,70.6,P,70%,وروكين,oroken
maxiclav,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 62.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 16 SACHET,90.0,56.1,90.0,G,70%,ماكسيكلاف,maxiclav
butazolidine,PHENYLBUTAZONE,250,MG,SUPPOSITOIRE,1 BOITE 5 SUPPOSITOIRE,14.1,8.8,14.1,P,70%,بوتازوليديني,butazolidine
tamoxifene mylan,TAMOXIFENE,10,MG,COMPRIME,1 BOITE 30 COMPRIME,78.6,49.1,78.6,G,70%,تاموكسيفيني ميلان,tamoxifene mylan
gonal-f900,FOLLITROPINE ALFA,900,UI/1.5 ML,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 STYLO PRE-REMPLI,3476.4,2299.6,3476.4,P,0%,جونال-ف900,gonal f900
verzol 400 mg,ALBENDAZOLE,400,MG,COMPRIME,1 BOITE 1 COMPRIME,20.0,13.2,20.0,G,0%,فيرزول 400 مج,verzol 400 mg
dicynone,ETAMSYLATE,250,MG,SOLUTION INJECTABLE,6 AMPOULE 2 ML,30.2,18.8,30.2,P,70%,ديكينوني,dicynone
pharmauracil 250mg/10ml,FLUOROURACIL,250,MG,SOLUTION INJECTABLE,1 BOITE 1 FLACON,16.6,10.4,16.6,G,70%,بهارماوراكيل 250مج/10مل,pharmauracil 250mg 10ml
diclofenac win 1 % gel,DICLOFENAC,1,%,GEL,1 TUBE 50 G,37.5,24.8,37.5,G,0%,ديكلوفيناك وين 1 % جيل,diclofenac win 1 gel
solicam,PIROXICAM,10,MG,GELULE,1 BOITE 10 GELULE,23.4,14.6,23.4,G,70%,سوليكام,solicam
efferalgan,PARACETAMOL,500,MG,COMPRIME EFFERVESCENT,1 BOITE 16 COMPRIME,15.9,9.9,15.3,P,70%,يففيرالجان,efferalgan
xarelto,RIVAROXABAN,10,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME PELLICULE,790.0,522.0,790.0,P,0%,كساريلتو,xarelto
dantron,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,643.0,426.0,643.0,G,70%,دانترون,dantron
mycolog,TRIAMCINOLONE / NEOMYCINE,100 / 0.25,MG / MUI,POMMADE,1 TUBE 10 G,30.9,20.4,30.9,P,0%,ميكولوج,mycolog
rythmodan,DISOPYRAMIDE,100,MG,GELULE,1 BOITE 40 GELULE,46.8,29.2,46.8,P,70%,ريتهمودان,rythmodan
efavir,EFAVIRENZ,200,MG,GELULE,1 BOITE 30 GELULE,60.5,37.8,60.5,G,70%,يفافير,efavir
lipanor,CIPROFIBRATE,100,MG,GELULE,1 BOITE 30 GELULE,82.0,51.1,82.0,P,70%,ليبانور,lipanor
carboplatine dbl,CARBOPLATINE,50,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,272.0,181.0,272.0,G,70%,كاربوبلاتيني دبل,carboplatine dbl
potex,EPOETINE ALFA,10000,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 KIT,1134.0,834.0,1134.0,G,70%,بوتيكس,potex
epotin,ERYTHROPOIETINE HUMAINE,4000,UI,SOLUTION INJECTABLE,10 FLACON 1 ML,4412.0,4088.0,4412.0,G,70%,يبوتين,epotin
diflucan,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,180.9,112.7,143.0,P,70%,ديفلوكان,diflucan
topsyne gel,FLUOCINONIDE,0.025,%,GEL,1 TUBE 30 G,25.5,16.9,25.5,P,0%,توبسيني جيل,topsyne gel
tephacycline,TETRACYCLINE,500,MG,COMPRIME,1 BOITE 20 COMPRIME,40.3,25.1,40.3,G,70%,تيبهاكيكليني,tephacycline
etoposide cooper,ETOPOSIDE,50,MG,CAPSULE,1 BOITE 10 CAPSULE,0.0,425.0,425.0,G,70%,يتوبوسيدي كووبير,etoposide cooper
immucyst,LA TUBERCULOSE [BCG],,,POUDRE POUR SUSPENSION INTRAVESICALE,1 BOITE 1 FLACON DE POUDRE + FLACON DE SOLVANT,0.0,840.0,840.0,P,70%,يمموكيست,immucyst
requip 1 mg,ROPINIROLE,1,MG,COMPRIME PELLICULE,1 BOITE 21 COMPRIME PELLICULE,139.6,92.3,139.6,P,0%,ريقويب 1 مج,requip 1 mg
requip 2 mg,ROPINIROLE,2,MG,COMPRIME PELLICULE,1 BOITE 21 COMPRIME PELLICULE,222.6,147.2,222.6,P,0%,ريقويب 2 مج,requip 2 mg
catacol,INOSINE PHOSPHATE DISODIQUE DIHYDRATE,0.1,%,COLLYRE,1 FLACON 10 ML,16.9,11.15,16.9,G,0%,كاتاكول,catacol
progesterone retard pharlon,HYDROXYPROGESTERONE,500,MG,SOLUTION INJECTABLE LP,1 BOITE 3 AMPOULE INJECTABLE,102.5,63.9,102.5,P,70%,بروجيستيروني ريتارد بهارلون,progesterone retard pharlon
miorel,THIOCOLCHICOSIDE,4,MG,GELULE,1 BOITE 12 GELULE,51.55,34.1,51.55,P,0%,ميوريل,miorel
destec 5 mg,DESLORATADINE,5,MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME PELLICULE,44.8,29.6,44.8,G,0%,ديستيك 5 مج,destec 5 mg
synacthene,TETRACOSACTIDE,1,MG,SUSPENSION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,47.3,31.2,47.3,P,70%,سيناكتهيني,synacthene
molgam 100 mg,ACIDE TIAPROFENIQUE,100,MG,COMPRIME,1 BOITE 10 COMPRIME,13.0,8.1,13.0,G,70%,مولجام 100 مج,molgam 100 mg
tenormine,ATENOLOL,100,MG,COMPRIME PELLICULE SECABLE,1 BOITE 14 COMPRIME,46.5,29.0,34.7,P,70%,تينورميني,tenormine
nurabol,CYPROHEPTADINE,4,MG,COMPRIME,1 BOITE 30 COMPRIME,15.2,10.0,15.2,G,0%,نورابول,nurabol
avodart,DUTASTERIDE,0.5,MG,CAPSULE MOLLE,1 BOITE 90 CAPSULE,795.0,491.5,795.0,P,0%,افودارت,avodart
fucidine enfant,ACIDE FUSIDIQUE,250,MG,SUSPENSION BUVABLE,1 FLACON 90 ML,225.0,140.5,225.0,P,70%,فوكيديني ينفانت,fucidine enfant
normatens,ATENOLOL,100,MG,COMPRIME,1 BOITE 30 COMPRIME,39.5,24.7,39.5,G,70%,نورماتينس,normatens
engerix-b (adulte),VACCIN ANTI-HEPATITE B,,,PREPARATION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,180.0,112.1,180.0,P,70%,ينجيريكس-ب (ادولتي),engerix b adulte
geprid,GLIMEPIRIDE,2,MG,COMPRIME,1 BOITE 60 COMPRIME,114.4,71.5,114.4,G,70%,جيبريد,geprid
proton,OMEPRAZOLE,20,MG,GELULE,1 BOITE 28 GELULE,190.0,118.4,190.0,G,70%,بروتون,proton
liometacen,INDOMETACINE,50,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,59.7,37.2,59.7,P,70%,ليوميتاكين,liometacen
dexa-gentamicine,GENTAMICINE / DEXAMETHASONE,5 / 1,MG / MG,COLLYRE,1 FLACON 5 ML,26.0,16.2,26.0,G,70%,ديكسا-جينتاميكيني,dexa gentamicine
tronid,METRONIDAZOLE,250,MG,COMPRIME,1 BOITE 20 COMPRIME,18.0,11.2,18.0,G,70%,ترونيد,tronid
rodogyl,SPIRAMYCINE / METRONIDAZOLE,0.75 / 125,MUI / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,95.0,59.2,80.6,P,70%,رودوجيل,rodogyl
fentanyl mylan,FENTANYL,100,µG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE,0.0,48.0,48.0,G,0%,فينتانيل ميلان,fentanyl mylan
acide alendronique normon 70 mg,ALENDRONATE,70,MG,COMPRIME,1 BOITE 4 COMPRIME,176.0,109.7,176.0,G,70%,اكيدي اليندرونيقوي نورمون 70 مج,acide alendronique normon 70 mg
levamox,AMOXICILLINE / ACIDE CLAVULANIQUE,100 / 12.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,66.0,41.1,66.0,G,70%,ليفاموكس,levamox
imovane,ZOPICLONE,7.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME,42.9,26.7,42.9,P,70%,يموفاني,imovane
parasphan,PARACETAMOL / ACIDE ACETYLSALICYLIQUE,135 / 265,MG / MG,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,30.9,20.4,30.9,G,0%,باراسبهان,parasphan
lamivir,LAMIVUDINE,50,MG,SOLUTION BUVABLE,1 FLACON 100 ML,45.4,28.4,45.4,G,70%,لاميفير,lamivir
estreva,ESTRADIOL,0.1,%,GEL,1 FLACON 50 G,76.0,50.3,76.0,P,0%,يستريفا,estreva
anginib,LOSARTAN,50,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME ENROBE,83.7,52.3,83.7,G,70%,انجينيب,anginib
epivir,LAMIVUDINE,10,MG,SOLUTION BUVABLE,1 FLACON 240 ML,532.0,353.0,532.0,P,70%,يبيفير,epivir
canesten,CLOTRIMAZOLE,1,%,CREME,1 TUBE 30 G,36.0,22.4,29.7,P,70%,كانيستين,canesten
nonan,MULTIPLE,,,SOLUTION POUR PERFUSION,1 BOITE 25 FLACON,1204.0,796.4,1204.0,G,0%,نونان,nonan
macromax 200mg/5ml,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 15 ML,60.0,37.4,60.0,G,70%,ماكروماكس 200مج/5مل,macromax 200mg 5ml
ondansetron gt,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,605.0,400.0,605.0,G,70%,وندانسيترون جت,ondansetron gt
bronchocist adultes,CARBOCYSTEINE,2,%,SOLUTION BUVABLE,1 FLACON 200 ML,32.65,21.6,32.65,G,0%,برونكهوكيست ادولتيس,bronchocist adultes
zinoxime 1.5 g iv,CEFUROXIME,1.5,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,58.1,38.4,58.1,G,0%,زينوكسيمي 1.5 ج يف,zinoxime 1 5 g iv
"marcaine 0,50 %,bupivacaine,0.5,%,solution injectable,1 boite 1 flacon,46.5,0.0,46.5,p,70%,""ماركايني 0,50 %"",marcaine 0 50,,,,,,,,,,,,"
micropakine lp 250 mg,VALPROATE DE SODIUM,250,MG,GRANULE LP,1 BOITE 30 SACHET DOSE,90.9,60.1,90.9,P,0%,ميكروباكيني لب 250 مج,micropakine lp 250 mg
fluctine genpharma,FLUOXETINE,20,MG,GELULE,1 BOITE 12 GELULE,50.0,31.1,50.0,G,70%,فلوكتيني جينبهارما,fluctine genpharma
effexor lp 75 mg,VENLAFAXINE,75,MG,GELULE LP,1 BOITE 30 GELULE LP,221.0,146.2,221.0,P,0%,يففيكسور لب 75 مج,effexor lp 75 mg
stilnox,ZOLPIDEM,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME,56.6,35.2,45.0,P,70%,ستيلنوكس,stilnox
cebemyxine collyre,POLYMYXINE B / NEOMYCINE,0.1 / 0.34,MUI / MUI,COLLYRE,1 FLACON 10 ML,23.9,15.8,23.9,P,0%,كيبيميكسيني كولليري,cebemyxine collyre
norditropine,SOMATROPINE,12,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,0.0,1276.3,1276.3,P,70%,نورديتروبيني,norditropine
mucilar adultes,CARBOCYSTEINE,5,%,SIROP,1 FLACON 125 ML,23.2,15.3,23.2,P,0%,موكيلار ادولتيس,mucilar adultes
loceryl,AMOROLFINE,5,%,SOLUTION POUR APPLICATION LOCALE,1 FLACON 2.5 ML,430.9,285.0,430.9,P,0%,لوكيريل,loceryl
quinolox,OFLOXACINE,200,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME PELLICULE,101.0,62.9,101.0,G,70%,قوينولوكس,quinolox
